timestamp,ax,ay,az,gx,gy,gz,label
3462,0.01,1.03,-0.24,-0.10,-1.46,-7.22,1
3472,0.01,1.03,-0.24,0.21,-0.98,-7.30,1
3482,0.00,1.03,-0.24,0.70,-0.58,-7.33,1
3492,0.00,1.03,-0.23,0.98,-0.16,-7.28,1
3502,0.00,1.03,-0.23,0.86,0.03,-7.29,1
3512,0.00,1.03,-0.22,0.59,-0.31,-7.37,1
3522,0.00,1.03,-0.22,0.20,-0.95,-7.39,1
3532,0.00,1.03,-0.22,-0.22,-1.59,-7.37,1
3542,0.00,1.03,-0.22,-0.50,-2.08,-7.42,1
3552,0.00,1.03,-0.23,-0.70,-2.11,-7.34,1
3562,0.00,1.03,-0.23,-0.40,-1.91,-7.21,1
3572,0.00,1.03,-0.23,-0.09,-1.60,-7.16,1
3582,0.00,1.03,-0.23,0.21,-1.14,-7.10,1
3592,0.00,1.03,-0.23,0.44,-0.77,-7.03,1
3602,0.00,1.03,-0.23,0.53,-0.90,-7.06,1
3612,-0.00,1.03,-0.22,0.37,-1.31,-7.17,1
3622,-0.00,1.03,-0.22,0.05,-1.56,-7.34,1
3632,0.00,1.03,-0.23,-0.15,-1.84,-7.37,1
3642,0.00,1.03,-0.23,-0.30,-1.99,-7.32,1
3652,0.00,1.03,-0.23,-0.36,-1.72,-7.37,1
3662,0.00,1.03,-0.24,-0.12,-2.01,-7.31,1
3672,0.00,1.03,-0.23,0.14,-1.62,-7.21,1
3682,0.00,1.03,-0.23,0.01,-0.85,-7.18,1
3692,-0.00,1.03,-0.23,0.06,-1.17,-7.23,1
3702,0.00,1.03,-0.23,0.20,-1.50,-7.25,1
3712,0.00,1.03,-0.23,0.01,-0.95,-7.14,1
3722,0.00,1.03,-0.23,-0.14,-1.29,-7.07,1
3732,0.00,1.03,-0.23,-0.23,-2.27,-7.12,1
3742,0.00,1.03,-0.23,-0.40,-2.66,-7.11,1
3752,0.00,1.03,-0.23,-0.43,-2.63,-7.04,1
3762,0.00,1.03,-0.23,-0.25,-2.57,-7.15,1
3772,0.01,1.03,-0.23,-0.16,-2.27,-6.96,1
3782,0.01,1.03,-0.23,-0.11,-1.79,-6.90,1
3792,0.00,1.03,-0.23,0.04,-1.60,-6.89,1
3802,0.01,1.03,-0.23,0.16,-1.53,-6.75,1
3812,0.00,1.03,-0.23,0.16,-1.40,-6.78,1
3822,0.00,1.03,-0.22,-0.10,-1.37,-6.82,1
3832,0.00,1.03,-0.22,-0.32,-1.61,-6.79,1
3842,0.01,1.03,-0.22,-0.52,-2.09,-6.88,1
3852,0.01,1.03,-0.23,-0.80,-2.21,-6.76,1
3862,0.01,1.03,-0.23,-0.73,-1.80,-6.79,1
3872,0.01,1.03,-0.24,-0.47,-1.01,-6.85,1
3882,0.01,1.03,-0.24,-0.30,-0.20,-6.92,1
3892,0.01,1.03,-0.23,-0.06,0.33,-7.04,1
3902,0.00,1.03,-0.23,-0.07,0.39,-7.02,1
3912,-0.00,1.02,-0.24,-0.34,-0.17,-7.15,1
3922,-0.01,1.02,-0.24,-0.37,-0.89,-7.37,1
3932,-0.01,1.03,-0.24,-0.48,-1.17,-7.54,1
3942,-0.00,1.03,-0.24,-0.53,-0.98,-7.67,1
3952,-0.00,1.03,-0.24,-0.48,-0.73,-7.74,1
3962,-0.00,1.03,-0.23,-0.37,-0.77,-7.68,1
3972,0.00,1.03,-0.23,-0.38,-0.95,-7.73,1
3982,0.00,1.03,-0.23,-0.44,-0.84,-7.65,1
3992,0.00,1.03,-0.23,-0.34,-0.60,-7.50,1
4002,0.00,1.03,-0.23,-0.37,-0.55,-7.48,1
4012,0.00,1.03,-0.23,-0.37,-0.61,-7.44,1
4022,0.00,1.03,-0.23,-0.37,-0.95,-7.13,1
4032,-0.00,1.03,-0.23,-0.37,-1.34,-6.89,1
4042,-0.01,1.03,-0.23,-0.57,-1.78,-6.76,1
4052,-0.01,1.03,-0.24,-0.60,-2.45,-6.53,1
4062,-0.01,1.03,-0.24,-0.63,-2.94,-6.35,1
